query,hits,clicks,clickThroughs,ctr,carts,orders,hit_to_order_rate,click_to_order_rate,cart_to_order_rate
Feminine pleated knit dress-Navy blue,37,101,19,51.35,16,0,0.0,0.0,0.0
Bird print ,37,60,25,67.57,14,0,0.0,0.0,0.0
Long Sleeve Dresses,37,98,21,56.76,8,0,0.0,0.0,0.0
striped dress,37,87,29,78.38,9,0,0.0,0.0,0.0
crop ,38,64,24,63.16,2,0,0.0,0.0,0.0
Returns,39,118,12,30.77,18,0,0.0,0.0,0.0
Eggplant ,51,89,26,50.98,6,0,0.0,0.0,0.0
Retro chambray shirtdress-Indigo,52,65,17,32.69,21,0,0.0,0.0,0.0
Bows,34,80,19,55.88,8,0,0.0,0.0,0.0
navy dresses,136,195,84,61.76,18,0,0.0,0.0,0.0
orange,89,146,44,49.44,4,0,0.0,0.0,0.0
Silk ,94,212,55,58.51,14,0,0.0,0.0,0.0
Chiffon ,98,178,64,65.31,16,0,0.0,0.0,0.0
Colorblock ,101,200,64,63.37,37,0,0.0,0.0,0.0
Anchors,101,146,71,70.3,16,0,0.0,0.0,0.0
Seersucker,106,211,51,48.11,3,0,0.0,0.0,0.0
black lace dresses,108,5,4,3.7,2,0,0.0,0.0,0.0
knit dresses,112,318,80,71.43,55,0,0.0,0.0,0.0
Teal dresses,122,25,13,10.66,2,0,0.0,0.0,0.0
Empire,161,523,127,78.88,43,0,0.0,0.0,0.0
Tie neck poplin dress-Black,54,58,13,24.07,18,0,0.0,0.0,0.0
Polka dot ,177,339,113,63.84,40,0,0.0,0.0,0.0
crinoline,178,105,49,27.53,10,0,0.0,0.0,0.0
navy,192,444,128,66.67,29,0,0.0,0.0,0.0
skirts,199,147,65,32.66,35,0,0.0,0.0,0.0
but dress,247,632,96,38.87,71,0,0.0,0.0,0.0
Purple,340,416,151,44.41,29,0,0.0,0.0,0.0
grey dress,435,65,29,6.67,7,0,0.0,0.0,0.0
grey,480,89,28,5.83,10,0,0.0,0.0,0.0
gingham in green and white,601,0,0,0.0,0,0,0.0,,
Virginia ,87,163,58,66.67,32,0,0.0,0.0,0.0
plus size,86,136,54,62.79,27,0,0.0,0.0,0.0
lace dresses,86,162,61,70.93,11,0,0.0,0.0,0.0
Maternity,81,138,48,59.26,8,0,0.0,0.0,0.0
floral Dresses,56,121,38,67.86,9,0,0.0,0.0,0.0
Grace ,57,116,36,63.16,3,0,0.0,0.0,0.0
Chevron stripe colorblock maxi dress-Black/white/eggplant,59,95,21,35.59,18,0,0.0,0.0,0.0
Sequin ,61,134,38,62.3,14,0,0.0,0.0,0.0
Checked,62,90,38,61.29,12,0,0.0,0.0,0.0
Ponte ,63,199,38,60.32,18,0,0.0,0.0,0.0
Marilyn ,67,120,33,49.25,8,0,0.0,0.0,0.0
Hearts,68,160,41,60.29,53,0,0.0,0.0,0.0
overstock ,68,243,40,58.82,12,0,0.0,0.0,0.0
Chambray dresses,70,163,47,67.14,11,0,0.0,0.0,0.0
Color blocking,70,126,51,72.86,14,0,0.0,0.0,0.0
"""cotton""",70,222,54,77.14,34,0,0.0,0.0,0.0
halter ,73,128,54,73.97,24,0,0.0,0.0,0.0
coats,73,94,12,16.44,2,0,0.0,0.0,0.0
Pink dresses ,74,83,33,44.59,6,0,0.0,0.0,0.0
Teal ,75,170,45,60.0,12,0,0.0,0.0,0.0
Scalloped ,78,129,57,73.08,24,0,0.0,0.0,0.0
vintage,80,148,48,60.0,9,0,0.0,0.0,0.0
cats,80,114,26,32.5,12,0,0.0,0.0,0.0
Kimono ,34,36,15,44.12,6,0,0.0,0.0,0.0
brooklyn dresses,34,68,28,82.35,5,0,0.0,0.0,0.0
return policy,21,17,3,14.29,2,0,0.0,0.0,0.0
Cotton knit fit and flare,24,62,17,70.83,8,0,0.0,0.0,0.0
Chevron striped,24,42,19,79.17,6,0,0.0,0.0,0.0
Victoria dress-Prussian blue,24,91,11,45.83,1330,0,0.0,0.0,0.0
Lavender dress,24,57,11,45.83,4,0,0.0,0.0,0.0
long sleeve,24,68,14,58.33,12,0,0.0,0.0,0.0
loden ,24,24,12,50.0,4,0,0.0,0.0,0.0
chelsea dresses,24,93,18,75.0,8,0,0.0,0.0,0.0
ivory dresses,24,42,13,54.17,0,0,0.0,0.0,
Havana dress-Poppy red,24,22,6,25.0,0,0,0.0,0.0,
Roses,24,33,11,45.83,2,0,0.0,0.0,0.0
Cotton knit fit and flare dress-Black,24,60,11,45.83,5,0,0.0,0.0,0.0
Kayla dress-Eggplant,26,34,8,30.77,6,0,0.0,0.0,0.0
Dandelion ,25,42,16,64.0,6,0,0.0,0.0,0.0
Daisy dress-Deep navy,25,12,8,32.0,2,0,0.0,0.0,0.0
Chelsea dress-Prussian blue,25,41,9,36.0,12,0,0.0,0.0,0.0
Jersey knit,25,44,14,56.0,12,0,0.0,0.0,0.0
Strapless ,25,56,19,76.0,2,0,0.0,0.0,0.0
Kayla dress ,25,42,20,80.0,4,0,0.0,0.0,0.0
daisy,25,30,18,72.0,2,0,0.0,0.0,0.0
 Cream,25,44,16,64.0,0,0,0.0,0.0,
Midi ,25,29,12,48.0,4,0,0.0,0.0,0.0
Sweetheart ,23,58,18,78.26,9,0,0.0,0.0,0.0
Maxi skirts,23,16,10,43.48,0,0,0.0,0.0,
sales,23,55,14,60.87,16,0,0.0,0.0,0.0
Ellen dress-Aqua multi,23,31,4,17.39,22,0,0.0,0.0,0.0
Tile ,21,28,15,71.43,5,0,0.0,0.0,0.0
Fish ,21,39,9,42.86,0,0,0.0,0.0,
Tulle dress,22,52,16,72.73,10,0,0.0,0.0,0.0
Chelsea dress-Black,22,17,5,22.73,4,0,0.0,0.0,0.0
culottes,22,40,16,72.73,4,0,0.0,0.0,0.0
bottle green,22,44,15,68.18,4,0,0.0,0.0,0.0
Cowl neck ,22,27,13,59.09,0,0,0.0,0.0,
pencil ,22,24,11,50.0,2,0,0.0,0.0,0.0
Chevron stripe colorblock maxi dress-Spring green/white/deep navy,23,42,10,43.48,8,0,0.0,0.0,0.0
Chevron maxi ,23,18,14,60.87,0,0,0.0,0.0,
cape,23,67,12,52.17,0,0,0.0,0.0,
the morgan,23,25,12,52.17,2,0,0.0,0.0,0.0
Elastic waist dress,23,90,17,73.91,8,0,0.0,0.0,0.0
denim skirts,23,23,13,56.52,4,0,0.0,0.0,0.0
Floral embellished tulle dress-Tomato red,23,20,7,30.43,6,0,0.0,0.0,0.0
graphic ,23,48,15,65.22,2,0,0.0,0.0,0.0
Marilyn dress ,23,33,14,60.87,6,0,0.0,0.0,0.0
Floral gold lace A-line dress-Ecru/gold,23,17,4,17.39,4,0,0.0,0.0,0.0
Black skirts,23,31,15,65.22,2,0,0.0,0.0,0.0
referral,26,7,3,11.54,0,0,0.0,0.0,
glasses,26,12,7,26.92,2,0,0.0,0.0,0.0
Landscape,34,43,24,70.59,11,0,0.0,0.0,0.0
Aurora ,32,30,21,65.63,2,0,0.0,0.0,0.0
Tie neck ,30,42,24,80.0,7,0,0.0,0.0,0.0
chevron stripe dresses,30,53,24,80.0,16,0,0.0,0.0,0.0
Jersey dresses,30,78,22,73.33,8,0,0.0,0.0,0.0
Amelia dress-Prussian blue,30,39,11,36.67,8,0,0.0,0.0,0.0
Floral vine print cotton dress-Off-white/teal multi,30,28,6,20.0,6,0,0.0,0.0,0.0
A-line Dresses,30,57,20,66.67,10,0,0.0,0.0,0.0
"""Feminine pleated""",31,30,19,61.29,0,0,0.0,0.0,
Polka ,31,47,21,67.74,20,0,0.0,0.0,0.0
Balloon ,31,49,16,51.61,0,0,0.0,0.0,
pleated,32,79,20,62.5,4,0,0.0,0.0,0.0
Vintage denim chambray dress-Indigo,26,20,9,34.62,8,0,0.0,0.0,0.0
Dahlia crinoline-Black,32,60,10,31.25,10,0,0.0,0.0,0.0
"""drop waist""",32,83,25,78.13,8,0,0.0,0.0,0.0
Ella ,32,37,13,40.63,0,0,0.0,0.0,
Morgan dress ,32,67,24,75.0,2,0,0.0,0.0,0.0
Lips,33,16,9,27.27,0,0,0.0,0.0,
dogs,33,76,26,78.79,8,0,0.0,0.0,0.0
colorblock dresses,33,61,24,72.73,22,0,0.0,0.0,0.0
burgundy,33,35,9,27.27,22,0,0.0,0.0,0.0
orange dress,33,49,19,57.58,14,0,0.0,0.0,0.0
Piped trim polka dot print dress-Off-white/navy,30,80,18,60.0,19,0,0.0,0.0,0.0
victoria ,29,44,18,62.07,0,0,0.0,0.0,
Royal blue ,29,33,19,65.52,2,0,0.0,0.0,0.0
Paisley,29,38,20,68.97,4,0,0.0,0.0,0.0
sateen ,26,24,11,42.31,0,0,0.0,0.0,
Smocked,26,50,21,80.77,2,0,0.0,0.0,0.0
Polka dot voile print keyhole dress-Royal blue/off-white,27,7,7,25.93,0,0,0.0,0.0,
Diamond ,27,38,20,74.07,8,0,0.0,0.0,0.0
Plus,27,67,17,62.96,8,0,0.0,0.0,0.0
Bolero ,27,38,17,62.96,8,0,0.0,0.0,0.0
pencill skirt,27,49,17,62.96,1,0,0.0,0.0,0.0
Peter Pan ,27,36,14,51.85,10,0,0.0,0.0,0.0
Paisley embellished voile tunic dress-White multi,27,5,3,11.11,0,0,0.0,0.0,
retro dresses,27,58,26,96.3,0,0,0.0,0.0,
TURQUOISE,27,45,17,62.96,2,0,0.0,0.0,0.0
piped,28,34,20,71.43,0,0,0.0,0.0,
blush ,28,28,12,42.86,0,0,0.0,0.0,
chambray skirts,28,33,16,57.14,8,0,0.0,0.0,0.0
Grace dress-Black,28,49,12,42.86,9,0,0.0,0.0,0.0
Fruit ,28,49,17,60.71,4,0,0.0,0.0,0.0
georgette,29,77,17,58.62,7,0,0.0,0.0,0.0
 CL0032310,29,66,13,44.83,38,0,0.0,0.0,0.0
 Loden Green,29,48,21,72.41,4,0,0.0,0.0,0.0
watercolor ,14,27,9,64.29,0,0,0.0,0.0,
